facility_id,organisation_name,facility_name,province,city,address,postal_code,npri_id,2011_ghg_emissions_kilotonnes_of_carbon_dioxide_equivalent,facility_ghg_data_link,naics_name,naics_data_link,latitude,longitude
199,Imperial Oil,Nanticoke Refinery,Ontario,Nanticoke,225 2nd Concession,N0A1L0,3701,1023.33,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10199,Petroleum Refineries,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110,42.83750000,-80.05170000
203,Atlantic Power LP,Nipigon Power Plant,Ontario,Nipigon,11 Highway Highway,P0T2J0,10405,101.08,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10203,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,49.15120000,-88.34180000
208,NOVA Chemicals (Canada) Ltd.,Corunna Site,Ontario,Corunna,785 Petrolia Line,N0N1G0,1776,1610.17,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10208,Petrochemical Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325110,42.88250000,-82.40440000
209,Styrolution Canada Ltd.,Sarnia Site,Ontario,Sarnia,872 Tashmoo Avenue,N7T8A3,1785,127.02,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10209,Petrochemical Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325110,42.93850000,-82.41370000
210,NOVA Chemicals Corporation,St. Clair River Site,Ontario,Corunna,285 Albert Street,N0N1G0,4700,62.73,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10210,Resin and Synthetic Rubber Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325210,42.89710000,-82.43990000
213,General Motors of Canada Limited,Oshawa Car Assembly Plant,Ontario,Oshawa,700 Park Road South,L1J1N3,3893,140.17,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10213,Automobile and Light-Duty Motor Vehicle Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=336110,43.87540000,-78.86900000
215,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ontario,Ottawa,405 Smyth Road,K1H8M8,4872,210.22,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10215,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,45.40320000,-75.65408000
223,Essroc Canada Inc.,Picton  Plant,Ontario,Picton,1370 49 Highway South,K0K2T0,3541,577.72,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10223,Cement Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310,44.05530000,-77.12220000
250,Imperial Oil,Sarnia Chemical Plant,Ontario,Sarnia,602 Christina Street South,N7T7M5,1464,281.70,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10250,Petrochemical Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325110,42.95440000,-82.41530000
251,Imperial Oil,Sarnia Cogen Plant,Ontario,Sarnia,602 Christina Street South,N7T7M5,11174,466.39,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10251,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,42.95860000,-82.41460000
252,BP Canada Energy Company,Sarnia Fractionation Plant,Ontario,Sarnia,1182 Plank Road,N7T7H9,4155,134.06,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10252,Conventional Oil and Gas Extraction,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113,42.95210000,-82.36640000
253,Shell Canada Products,Sarnia Manufacturing Centre,Ontario,Corunna,150 St. Clair Parkway,N0N1G0,3962,702.51,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10253,Petroleum Refineries,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110,42.90250000,-82.45110000
254,Suncor Energy Products Partnership,Sarnia Refinery,Ontario,Sarnia,1900 River Road,N7T7J3,3071,680.82,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10254,Petroleum Refineries,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110,42.93060000,-82.44330000
255,Imperial Oil,Sarnia Refinery Plant,Ontario,Sarnia,602 Christina Street South,N7T7M5,3704,1315.03,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10255,Petroleum Refineries,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=324110,42.95420000,-82.41580000
256,TransAlta Generation Partnership,Sarnia Regional Cogeneration Facility,Ontario,Sarnia,1741 River Road,N7H8H1,6597,1165.56,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10256,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,42.93460000,-82.43810000
273,St. Marys Cement Inc.,Bowmanville Cement Plant,Ontario,Bowmanville,400 Waverley Road South,L1C3K3,5841,1246.77,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10273,Cement Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310,43.88060000,-78.70050000
274,St. Marys Cement Inc.,St. Marys Cement Plant,Ontario,St. Marys,585 Water Street South,N4X1B6,5871,527.34,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10274,Cement Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=327310,43.24260000,-81.14780000
275,U.S. Steel Canada Inc.,Hamilton Works,Ontario,Hamilton,386 Wilcox Street,L8N3T1,2984,351.16,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10275,Iron and Steel Mills and Ferro-Alloy Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110,43.26220000,-79.78670000
276,U.S. Steel Canada Inc.,Lake Erie Works,Ontario,Haldimand County,2330 Regional #3 Road,N0A1L0,3855,3296.82,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10276,Iron and Steel Mills and Ferro-Alloy Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110,42.81000000,-80.09670000
283,Terra Inernational (Canada) Inc.,CF Industries Courtright Nitrogen Complex,Ontario,Courtright,161 Bickford Line,N0N1H0,2233,639.17,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10283,Chemical Fertilizer (except Potash) Manufacturing,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=325313,42.81420000,-82.45560000
285,Terrace Bay Pulp Inc.,Terrace Bay Pulp,Ontario,Terrace Bay,21 Mill Road,P0T2W0,2607,124.79,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10285,Chemical Pulp Mills,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112,48.79650000,-87.10390000
287,Ontario Power Generation Inc.,Thunder Bay Generating Station,Ontario,Thunder Bay,920 108th Avenue,P7B6T7,3048,140.47,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10287,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,48.35920000,-89.22190000
293,Atlantic Power LP,Tunis Power Plant,Ontario,Tunis,11 (Potter Road) Highway North,P0N1J0,10407,98.64,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10293,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,48.87040000,-80.89420000
310,Corporation of the City of London,W12A Landfill,Ontario,London,3502 Manning Drive,N6L1K6,5790,125.65,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10310,Waste Treatment and Disposal,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210,42.87720000,-81.23040000
315,GDF Suez Energy Canada Inc.,West Windsor Power,Ontario,Windsor,4375 Sandwich Street,N9C4C8,5901,385.96,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10315,Fossil-Fuel Electric Power Generation,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112,42.28070000,-83.08760000
318,Domtar Inc.,Dryden Mill,Ontario,Dryden,1 Duke Street,P8N2Z7,928,57.90,http://www.ec.gc.ca/ges-ghg/donnees-data/index.cfm?do=facility_info&amp;lang=En&amp;year=2011&amp;ghg_id=G10318,Chemical Pulp Mills,http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112,49.78310000,-92.84720000
